WGS84 UTM 34N
530198 5647824
1.9714544601738453 -79.99417971074581 294.979
1.9714544601738453 -79.99417971074581 294.979
1.9714544601738453 -79.99417971074581 294.979
1.9714544601738453 -79.99417971074581 294.979
1.9714544601738453 -79.99417971074581 294.979
11.225333331269212 -71.81098856590688 294.999
11.225333331269212 -71.81098856590688 294.999
11.225333331269212 -71.81098856590688 294.999
11.225333331269212 -71.81098856590688 294.999
11.225333331269212 -71.81098856590688 294.999
20.42276455007959 -63.58362737763673 294.984
20.42276455007959 -63.58362737763673 294.984
20.42276455007959 -63.58362737763673 294.984
20.42276455007959 -63.58362737763673 294.984
20.42276455007959 -63.58362737763673 294.984
29.676714704721235 -55.42264337465167 294.966
29.676714704721235 -55.42264337465167 294.966
29.676714704721235 -55.42264337465167 294.966
29.676714704721235 -55.42264337465167 294.966
29.676714704721235 -55.42264337465167 294.966
38.83177364442963 -47.162134161219 294.957
38.83177364442963 -47.162134161219 294.957
38.83177364442963 -47.162134161219 294.957
38.83177364442963 -47.162134161219 294.957
38.83177364442963 -47.162134161219 294.957
47.98745304229669 -39.012811300344765 295.043
47.98745304229669 -39.012811300344765 295.043
47.98745304229669 -39.012811300344765 295.043
47.98745304229669 -39.012811300344765 295.043
47.98745304229669 -39.012811300344765 295.043
57.16331805975642 -30.71878536324948 295.016
57.16331805975642 -30.71878536324948 295.016
57.16331805975642 -30.71878536324948 295.016
57.16331805975642 -30.71878536324948 295.016
57.16331805975642 -30.71878536324948 295.016
66.42404114257079 -22.535453233867884 295.016
66.42404114257079 -22.535453233867884 295.016
66.42404114257079 -22.535453233867884 295.016
66.42404114257079 -22.535453233867884 295.016
66.42404114257079 -22.535453233867884 295.016
75.66348049615044 -14.318866652436554 294.992
75.66348049615044 -14.318866652436554 294.992
75.66348049615044 -14.318866652436554 294.992
75.66348049615044 -14.318866652436554 294.992
75.66348049615044 -14.318866652436554 294.992
84.92420997004956 -6.146621276624501 295.022
84.92420997004956 -6.146621276624501 295.022
84.92420997004956 -6.146621276624501 295.022
84.92420997004956 -6.146621276624501 295.022
84.92420997004956 -6.146621276624501 295.022
94.20655506674666 1.925681620836258 295.0
94.20655506674666 1.925681620836258 295.0
94.20655506674666 1.925681620836258 295.0
94.20655506674666 1.925681620836258 295.0
94.20655506674666 1.925681620836258 295.0
59.13321972079575 27.39815968181938 294.746
59.13321972079575 27.39815968181938 294.746
